img_id,disease,engine,point_game,energy,iou,area_ratio
patient64622_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.08755120635032654,0.21679064824654623,0.11246412627551021
patient64622_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.060159265995025635,0.08570829840737636,0.2853156887755102
patient64622_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.049872420728206635,0.07906437270442683,0.30929129464285715
patient64622_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,0,0.049682993441820145,0.0742691120392228,0.3292610012755102
patient64622_study1_view1_frontal,Edema,ImageNet_GradCAM,0,0.13049054145812988,0.21489413482599173,0.15425701530612246
patient64622_study1_view1_frontal,Edema,ImageNet_GradCAM++,0,0.10774163901805878,0.21325478645066273,0.20155054209183673
patient64622_study1_view1_frontal,Edema,RadImageNet_GradCAM,0,0.08493059128522873,0.1217195456325891,0.18357382015306123
patient64622_study1_view1_frontal,Edema,RadImageNet_GradCAM++,0,0.08180747926235199,0.11226177008093291,0.21000079719387754
patient64622_study1_view1_frontal,Cardiomegaly,ImageNet_GradCAM,0,0.01956794038414955,0.0,0.09701849489795919
patient64622_study1_view1_frontal,Cardiomegaly,ImageNet_GradCAM++,0,0.09081211686134338,0.13344871561304428,0.19969706632653061
patient64622_study1_view1_frontal,Cardiomegaly,RadImageNet_GradCAM,0,0.12818725407123566,0.20798591810264963,0.2115752551020408
patient64622_study1_view1_frontal,Cardiomegaly,RadImageNet_GradCAM++,0,0.10815296322107315,0.17917621829475708,0.26951132015306123
patient64622_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM,1,0.19665871560573578,0.15673289183222958,0.1630859375
patient64622_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM++,0,0.1546752154827118,0.2362064355111864,0.20974170918367346
patient64622_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM,0,0.1846374273300171,0.274440990674822,0.18664301658163265
patient64622_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM++,0,0.15104807913303375,0.2509541241529714,0.2534279336734694
patient64664_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.34699320793151855,0.31775794645542965,0.11246412627551021
patient64664_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,1,0.2841777205467224,0.40796437330579577,0.2853156887755102
patient64664_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.23939339816570282,0.25555010091092567,0.30929129464285715
patient64664_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,1,0.2454623281955719,0.2641439924214515,0.3292610012755102
patient64664_study1_view1_frontal,Edema,ImageNet_GradCAM,0,0.2835114002227783,0.16895690193628982,0.15425701530612246
patient64664_study1_view1_frontal,Edema,ImageNet_GradCAM++,0,0.2651844024658203,0.25889098562926405,0.20155054209183673
patient64664_study1_view1_frontal,Edema,RadImageNet_GradCAM,0,0.2510410249233246,0.24238760861352474,0.18357382015306123
patient64664_study1_view1_frontal,Edema,RadImageNet_GradCAM++,0,0.25476735830307007,0.28462984384037016,0.21000079719387754
patient64664_study1_view1_frontal,Atelectasis,ImageNet_GradCAM,0,0.027120836079120636,0.04040585975024016,0.3285634566326531
patient64664_study1_view1_frontal,Atelectasis,ImageNet_GradCAM++,0,0.022547777742147446,0.04121324380643668,0.2520727040816326
patient64664_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM,0,0.016823843121528625,0.010277492291880781,0.3162468112244898
patient64664_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM++,0,0.016558434814214706,0.011028934734656805,0.2937858737244898
patient64664_study1_view1_frontal,Cardiomegaly,ImageNet_GradCAM,0,1.6850119664013619e-06,0.0,0.09701849489795919
patient64664_study1_view1_frontal,Cardiomegaly,ImageNet_GradCAM++,0,0.1122492179274559,0.016563007030827474,0.19969706632653061
patient64664_study1_view1_frontal,Cardiomegaly,RadImageNet_GradCAM,0,0.10322779417037964,0.03570955346495296,0.2115752551020408
patient64664_study1_view1_frontal,Cardiomegaly,RadImageNet_GradCAM++,0,0.1146063432097435,0.06203815088503179,0.26951132015306123
patient64664_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM,0,0.11036234349012375,0.057669060655621135,0.1630859375
patient64664_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM++,0,0.16718849539756775,0.11265511892450879,0.20974170918367346
patient64664_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM,0,0.1953936517238617,0.12366155784169641,0.18664301658163265
patient64664_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM++,0,0.19038017094135284,0.13770664790714035,0.2534279336734694
patient64602_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,1,0.033641427755355835,0.06964380648591174,0.11246412627551021
patient64602_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.01785115711390972,0.027451802179379713,0.2853156887755102
patient64602_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,1,0.019182391464710236,0.02532379663638121,0.30929129464285715
patient64602_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,0,0.018154317513108253,0.023787906301071363,0.3292610012755102
patient64543_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.03158186748623848,0.018100984439504603,0.11246412627551021
patient64543_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.019981740042567253,0.024448217317487267,0.2853156887755102
patient64543_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.007611258886754513,0.0,0.30929129464285715
patient64543_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,0,0.008307121694087982,0.0,0.3292610012755102
patient64543_study1_view1_frontal,Edema,ImageNet_GradCAM,0,0.059593405574560165,0.05032618825722274,0.15425701530612246
patient64543_study1_view1_frontal,Edema,ImageNet_GradCAM++,0,0.05150661990046501,0.07311787430509752,0.20155054209183673
patient64543_study1_view1_frontal,Edema,RadImageNet_GradCAM,0,0.04213573783636093,0.07207115109384583,0.18357382015306123
patient64543_study1_view1_frontal,Edema,RadImageNet_GradCAM++,0,0.04313599690794945,0.06615523465703971,0.21000079719387754
patient64543_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM,0,0.07746656239032745,0.045196689296010416,0.1630859375
patient64543_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM++,0,0.1052761897444725,0.08779237423902596,0.20974170918367346
patient64543_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM,0,0.1157146692276001,0.10379454367724163,0.18664301658163265
patient64543_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM++,0,0.10315817594528198,0.11818504076568592,0.2534279336734694
patient64547_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.025986744090914726,0.06308701045543151,0.11246412627551021
patient64547_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.016146454960107803,0.02486728136350936,0.2853156887755102
patient64547_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.011230919510126114,0.01613006464827498,0.30929129464285715
patient64547_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,0,0.011206546798348427,0.015157894736842105,0.3292610012755102
patient64547_study1_view2_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.0013261284912005067,0.0,0.11246412627551021
patient64547_study1_view2_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.0008355143945664167,0.0,0.2853156887755102
patient64547_study1_view2_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.00019596534548327327,0.0,0.30929129464285715
patient64547_study1_view2_frontal,Airspace Opacity,RadImageNet_GradCAM++,0,0.00024224443768616766,0.0,0.3292610012755102
patient64553_study1_view1_frontal,Cardiomegaly,ImageNet_GradCAM,0,0.0008589395438320935,0.0,0.09701849489795919
patient64553_study1_view1_frontal,Cardiomegaly,ImageNet_GradCAM++,0,0.11612661182880402,0.06589560188707959,0.19969706632653061
patient64553_study1_view1_frontal,Cardiomegaly,RadImageNet_GradCAM,0,0.11979702115058899,0.08571853393799718,0.2115752551020408
patient64553_study1_view1_frontal,Cardiomegaly,RadImageNet_GradCAM++,0,0.11745323985815048,0.1118095238095238,0.26951132015306123
patient64553_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM,0,0.11485415697097778,0.06684555283718728,0.1630859375
patient64553_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM++,0,0.1589597910642624,0.1448888247184522,0.20974170918367346
patient64553_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM,1,0.2123986780643463,0.16694451059776136,0.18664301658163265
patient64553_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM++,1,0.1891409009695053,0.17880232482204664,0.2534279336734694
patient64557_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.09868094325065613,0.177676178464449,0.11246412627551021
patient64557_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.0763789713382721,0.12761944677284157,0.2853156887755102
patient64557_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.06286261975765228,0.07001418789710691,0.30929129464285715
patient64557_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,1,0.06559963524341583,0.07197943444730077,0.3292610012755102
patient64557_study1_view1_frontal,Edema,ImageNet_GradCAM,0,0.12807069718837738,0.1211959423384944,0.15425701530612246
patient64557_study1_view1_frontal,Edema,ImageNet_GradCAM++,0,0.11601816117763519,0.1833976833976834,0.20155054209183673
patient64557_study1_view1_frontal,Edema,RadImageNet_GradCAM,0,0.10517719388008118,0.15896989059928357,0.18357382015306123
patient64557_study1_view1_frontal,Edema,RadImageNet_GradCAM++,0,0.10687978565692902,0.15305237599722513,0.21000079719387754
patient64557_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM,0,0.11302085965871811,0.07741067998463312,0.1630859375
patient64557_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM++,0,0.11673422157764435,0.12681791739383363,0.20974170918367346
patient64557_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM,0,0.13787254691123962,0.15305932676213502,0.18664301658163265
patient64557_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM++,0,0.11828025430440903,0.16046563029543948,0.2534279336734694
patient64561_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.07413101196289062,0.1349464111724586,0.11246412627551021
patient64561_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.05754772201180458,0.09402067616652696,0.2853156887755102
patient64561_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.046873416751623154,0.055381727158948686,0.30929129464285715
patient64561_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,1,0.04889906197786331,0.05696876478939896,0.3292610012755102
patient64561_study1_view1_frontal,Atelectasis,ImageNet_GradCAM,0,0.03950193151831627,0.05496219848793952,0.3285634566326531
patient64561_study1_view1_frontal,Atelectasis,ImageNet_GradCAM++,0,0.0375639833509922,0.08493842753394379,0.2520727040816326
patient64561_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM,1,0.03490427881479263,0.03445332032441002,0.3162468112244898
patient64561_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM++,1,0.034230418503284454,0.0331398003783678,0.2937858737244898
patient64563_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.026527218520641327,0.03382769538410265,0.11246412627551021
patient64563_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.025113947689533234,0.039186923721709975,0.2853156887755102
patient64563_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.024475404992699623,0.036149236419872416,0.30929129464285715
patient64563_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,1,0.025609090924263,0.03395678227710187,0.3292610012755102
patient64563_study1_view1_frontal,Edema,ImageNet_GradCAM,0,0.0891745537519455,0.10721769499417928,0.15425701530612246
patient64563_study1_view1_frontal,Edema,ImageNet_GradCAM++,0,0.07854082435369492,0.15300281362181042,0.20155054209183673
patient64563_study1_view1_frontal,Edema,RadImageNet_GradCAM,0,0.07273799180984497,0.12693689071318626,0.18357382015306123
patient64563_study1_view1_frontal,Edema,RadImageNet_GradCAM++,0,0.07295012474060059,0.13731288116799112,0.21000079719387754
patient64566_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.0055565619841217995,0.0,0.11246412627551021
patient64566_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.01021166704595089,0.017812238055322716,0.2853156887755102
patient64566_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.003636127570644021,0.0,0.30929129464285715
patient64566_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,0,0.003290190128609538,0.0,0.3292610012755102
patient64566_study1_view1_frontal,Atelectasis,ImageNet_GradCAM,0,0.007794474717229605,0.01152493024384326,0.3285634566326531
patient64566_study1_view1_frontal,Atelectasis,ImageNet_GradCAM++,0,0.008915369398891926,0.01502213788741303,0.2520727040816326
patient64566_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM,0,0.0026655844412744045,0.0,0.3162468112244898
patient64566_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM++,0,0.0024171399418264627,0.0,0.2937858737244898
patient64570_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.047316744923591614,0.09242203910163192,0.11246412627551021
patient64570_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.04151027277112007,0.07621504776514887,0.2853156887755102
patient64570_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.01890728622674942,0.01786479045579688,0.30929129464285715
patient64570_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,0,0.018433766439557076,0.018535627670631712,0.3292610012755102
patient64572_study1_view1_frontal,Cardiomegaly,ImageNet_GradCAM,0,0.057147905230522156,0.03161257777030436,0.09701849489795919
patient64572_study1_view1_frontal,Cardiomegaly,ImageNet_GradCAM++,0,0.06237447261810303,0.12644710578842316,0.19969706632653061
patient64572_study1_view1_frontal,Cardiomegaly,RadImageNet_GradCAM,0,0.07087007164955139,0.11934815373021854,0.2115752551020408
patient64572_study1_view1_frontal,Cardiomegaly,RadImageNet_GradCAM++,0,0.059474315494298935,0.09369222805590476,0.26951132015306123
patient64572_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM,0,0.1434766948223114,0.1795629060838748,0.1630859375
patient64572_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM++,0,0.10288824141025543,0.17122767008741924,0.20974170918367346
patient64572_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM,0,0.09883064776659012,0.15612382234185734,0.18664301658163265
patient64572_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM++,0,0.08023640513420105,0.12971753170959457,0.2534279336734694
patient64574_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM,0,0.14168882369995117,0.10763288952129281,0.1630859375
patient64574_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM++,1,0.12869040668010712,0.1897016534867002,0.20974170918367346
patient64574_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM,0,0.13857826590538025,0.2081208120812081,0.18664301658163265
patient64574_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM++,0,0.11491198092699051,0.20620651919018212,0.2534279336734694
patient64577_study1_view1_frontal,Pleural Effusion,ImageNet_GradCAM,0,0.006790504790842533,0.006109535238926467,0.07794563137755102
patient64577_study1_view1_frontal,Pleural Effusion,ImageNet_GradCAM++,0,0.006525923497974873,0.005201162612819336,0.11700813137755102
patient64577_study1_view1_frontal,Pleural Effusion,RadImageNet_GradCAM,0,0.009427307173609734,0.0,0.28453842474489793
patient64577_study1_view1_frontal,Pleural Effusion,RadImageNet_GradCAM++,0,0.01341453567147255,0.00713032652368287,0.3407405931122449
patient64579_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.05636313930153847,0.08896855140948347,0.11246412627551021
patient64579_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.03232540190219879,0.05027015935982491,0.2853156887755102
patient64579_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.014377736486494541,0.0,0.30929129464285715
patient64579_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,0,0.01541970856487751,0.0,0.3292610012755102
patient64582_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.10938790440559387,0.20788240994992732,0.11246412627551021
patient64582_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.08651015162467957,0.1281782620843811,0.2853156887755102
patient64582_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.07791664451360703,0.11824215477801404,0.30929129464285715
patient64582_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,1,0.07970881462097168,0.11107075842866655,0.3292610012755102
patient64582_study1_view1_frontal,Pleural Effusion,ImageNet_GradCAM,0,0.0,0.0,0.07794563137755102
patient64582_study1_view1_frontal,Pleural Effusion,ImageNet_GradCAM++,0,0.00027799737290479243,0.0,0.11700813137755102
patient64582_study1_view1_frontal,Pleural Effusion,RadImageNet_GradCAM,0,0.0001633367210160941,0.0,0.28453842474489793
patient64582_study1_view1_frontal,Pleural Effusion,RadImageNet_GradCAM++,0,0.0004912325530312955,0.0,0.3407405931122449
patient64582_study1_view1_frontal,Edema,ImageNet_GradCAM,0,0.11434026062488556,0.19857713429855217,0.15425701530612246
patient64582_study1_view1_frontal,Edema,ImageNet_GradCAM++,0,0.0932757630944252,0.1817643576080521,0.20155054209183673
patient64582_study1_view1_frontal,Edema,RadImageNet_GradCAM,0,0.0779154971241951,0.10861948142957253,0.18357382015306123
